t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s,vesc_time_s,vesc_power_W,vesc_current_motor_A,vesc_current_in_A,vesc_voltage_in_V,vesc_erpm,vesc_temp_mosfet_C,vesc_temp_motor_C,vesc_duty_cycle_pct,rpm_mech
0.05,0.644,-21.71,0.082106,0.0,0.1,20.995,0.0,0.0,0.01,24.1,42975.0,30.6,-78.4,54.3,6139
0.15,0.512,-21.25,0.086624,0.1,0.2,21.092,0.0,0.0,0.01,24.1,43147.0,30.6,-78.9,54.5,6164
0.25,0.529,-21.29,0.086207,0.2,0.3,21.187,0.0,0.0,0.0,24.1,43319.0,30.6,-79.7,54.7,6188
0.35,0.562,-20.49,0.09452,0.3,0.4,21.306,0.0,0.0,0.0,24.1,43493.0,30.6,-79.8,54.8,6213
0.45,0.448,-20.44,0.095091,0.4,0.5,21.406,0.0,0.0,0.01,24.1,43653.0,30.6,-76.4,55.2,6236
0.55,0.52,-19.43,0.106829,0.5,0.6,21.496,0.0,0.0,0.02,24.2,43828.0,30.7,-77.5,55.3,6261
0.65,0.577,-19.14,0.110425,0.6,0.7,21.593,0.241,0.01,0.04,24.1,43998.0,30.7,-79.6,55.5,6285
0.75,0.668,-18.08,0.12477,0.7,0.8,21.699,0.0,0.0,0.0,24.0,44198.0,30.7,-82.1,55.9,6314
0.85,0.584,-18.2,0.122972,0.8,0.9,21.795,-0.241,-0.01,0.0,24.1,44337.0,30.7,-84.2,56.0,6334
0.95,0.526,-16.33,0.152657,0.9,1.0,21.886,0.241,0.01,0.05,24.1,44481.0,30.7,-81.0,56.1,6354
1.05,0.685,-14.8,0.182023,1.0,1.1,21.997,2.41,0.1,0.25,24.1,44678.0,30.7,-81.0,56.5,6383
1.15,0.738,-13.93,0.201155,1.1,1.2,22.09,2.651,0.11,0.28,24.1,44902.0,30.7,-81.3,56.8,6415
1.25,0.386,-13.29,0.216475,1.2,1.3,22.184,1.928,0.08,0.24,24.1,45114.0,30.6,-77.2,57.2,6445
1.35,0.397,-15.11,0.175605,1.3,1.4,22.306,0.24,0.01,0.05,24.0,45399.0,30.6,-76.6,57.3,6486
1.45,0.576,-14.1,0.197343,1.4,1.5,22.404,0.241,0.01,0.04,24.1,45592.0,30.8,-83.1,57.5,6513
1.55,0.586,-13.65,0.207669,1.5,1.6,22.496,0.242,0.01,0.04,24.2,45733.0,30.6,-78.8,57.7,6533
